subj,graphid,tp,q,pt
20,Q3 C,0,Q3,C
20,Q3 D,0,Q3,D
20,Q3 E,0,Q3,E
20,Q4 A,0,Q4,A
20,Q4 B,0,Q4,B
20,Q5 A,0,Q5,A
20,Q5 B,1,Q5,B
20,Q5 C,0,Q5,C
20,Q5 D,1,Q5,D
20,Q6 A,1,Q6,A
20,Q6 B,0,Q6,B
20,Q6 C,0,Q6,C
20,Q7 A,1,Q7,A
20,Q7 B,0,Q7,B
20,Q8 A,1,Q8,A
20,Q8 B,0,Q8,B
20,Q9 A,0,Q9,A
20,Q10 A,1,Q10,A
20,Q10 B,0,Q10,B
20,Q10 C,1,Q10,C
20,Q10 D,0,Q10,D
20,Q11 A,0,Q11,A
20,Q11 B,0,Q11,B
20,Q11 C,0,Q11,C
20,Q11 D,0,Q11,D
20,Q12 A,0,Q12,A
20,Q13 A,1,Q13,A
21,Q2 A,1,Q2,A
21,Q2 B,1,Q2,B
21,Q2 C,1,Q2,C
21,Q3 A,1,Q3,A
21,Q3 B,0,Q3,B
21,Q3 C,0,Q3,C
21,Q3 D,0,Q3,D
21,Q3 E,1,Q3,E
21,Q4 A,0,Q4,A
21,Q4 B,0,Q4,B
21,Q5 A,1,Q5,A
21,Q5 B,0,Q5,B
21,Q5 C,1,Q5,C
21,Q5 D,0,Q5,D
21,Q6 A,1,Q6,A
21,Q6 B,0,Q6,B
21,Q6 C,1,Q6,C
21,Q7 A,1,Q7,A
21,Q7 B,0,Q7,B
21,Q8 A,1,Q8,A
21,Q8 B,1,Q8,B
21,Q9 A,1,Q9,A
21,Q10 A,1,Q10,A
21,Q10 B,0,Q10,B
21,Q10 C,1,Q10,C
21,Q10 D,0,Q10,D
21,Q11 A,0,Q11,A
21,Q11 B,0,Q11,B
21,Q11 C,0,Q11,C
21,Q11 D,0,Q11,D
21,Q12 A,1,Q12,A
21,Q13 A,1,Q13,A
22,Q2 A,0,Q2,A
22,Q2 B,1,Q2,B
22,Q2 C,0,Q2,C
22,Q3 A,1,Q3,A
22,Q3 B,0,Q3,B
22,Q3 C,0,Q3,C
22,Q3 D,0,Q3,D
22,Q3 E,1,Q3,E
22,Q4 A,0,Q4,A
22,Q4 B,0,Q4,B
22,Q5 A,0,Q5,A
22,Q5 B,0,Q5,B
22,Q5 C,1,Q5,C
22,Q5 D,0,Q5,D
22,Q6 A,1,Q6,A
22,Q6 B,0,Q6,B
22,Q6 C,1,Q6,C
22,Q7 A,1,Q7,A
22,Q7 B,0,Q7,B
22,Q8 A,1,Q8,A
22,Q8 B,1,Q8,B
22,Q9 A,0,Q9,A
22,Q10 A,1,Q10,A
22,Q10 B,0,Q10,B
22,Q10 C,1,Q10,C
22,Q10 D,0,Q10,D
22,Q11 A,0,Q11,A
22,Q11 B,0,Q11,B
22,Q11 C,0,Q11,C
22,Q11 D,0,Q11,D
22,Q12 A,1,Q12,A
22,Q13 A,1,Q13,A
23,Q2 A,0,Q2,A
23,Q2 B,0,Q2,B
23,Q2 C,1,Q2,C
23,Q3 A,1,Q3,A
23,Q3 B,0,Q3,B
23,Q3 C,0,Q3,C
23,Q3 D,0,Q3,D
23,Q3 E,0,Q3,E
23,Q4 A,0,Q4,A
23,Q4 B,0,Q4,B
23,Q5 A,0,Q5,A
23,Q5 B,0,Q5,B
23,Q5 C,1,Q5,C
23,Q5 D,0,Q5,D
23,Q6 A,1,Q6,A
23,Q6 B,0,Q6,B
23,Q6 C,1,Q6,C
23,Q7 A,1,Q7,A
23,Q7 B,0,Q7,B
23,Q8 A,0,Q8,A
23,Q8 B,1,Q8,B
23,Q9 A,0,Q9,A
23,Q10 A,1,Q10,A
23,Q10 B,0,Q10,B
23,Q10 C,0,Q10,C
23,Q10 D,0,Q10,D
23,Q11 A,0,Q11,A
23,Q11 B,0,Q11,B
23,Q11 C,0,Q11,C
23,Q11 D,0,Q11,D
23,Q12 A,1,Q12,A
23,Q13 A,1,Q13,A
24,Q2 A,1,Q2,A
24,Q2 B,0,Q2,B
24,Q2 C,0,Q2,C
24,Q3 A,1,Q3,A
24,Q3 B,0,Q3,B
