subj,uniBrown,expExec,tpChange,tpRate,tpDir,tpNoReturn,tellMgr,impChange,impRise,impFall,impPeriodic,numOtherTP,liwcPosemo,liwcNegemo,liwcCause,liwcFocusPre,liwcFocusFut,liwcRelativ,liwcTime
63,0,0,1,0,0,0,1,100,100,100,20,0,0,0,0,11.11,0,33.33,0
64,0,0,1,1,0,0,,,,,,0,0,0,0,8.33,0,33.33,25
65,0,0,1,0,1,1,1,100,100,100,,0,0,0,0,4.55,0,31.82,9.09
66,0,0,1,0,0,0,1,60,31,1,59,0,0,0,0,0,0,0,0
67,0,0,1,0,0,1,1,54,52,88,100,0,0,0,14.29,14.29,0,42.86,0
68,0,0,1,0,1,0,,35,54,79,57,2,0,0,0,16.67,0,33.33,0
69,0,0,1,0,1,0,1,80,80,82,69,2,5.56,0,0,22.22,11.11,16.67,0
70,0,0,1,0,0,1,1,72,100,100,42,1,0,0,0,16.67,0,33.33,0
71,0,0,1,0,1,1,0,40,80,30,100,1,0,0,5.26,0,0,26.32,5.26
72,0,0,0,0,1,0,,32,75,75,51,1,0,0,0,14.29,0,14.29,7.14
73,0,0,1,0,0,1,1,80,25,25,80,1,0,0,33.33,0,0,33.33,0
74,0,0,1,0,0,0,0,95,65,35,0,1,0,0,40,0,0,40,0
75,0,0,1,0,1,1,1,80,75,75,75,1,0,0,4.55,13.64,0,36.36,13.64
76,0,0,1,0,1,0,1,85,71,10,86,3,0,8.33,4.17,4.17,0,29.17,8.33
77,0,0,1,0,0,1,1,9,60,100,14,1,0,0,0,0,0,28.57,7.14
78,0,0,1,0,0,0,1,45,40,50,50,5,0,0,0,11.76,0,35.29,5.88
79,0,0,1,1,1,0,1,100,50,50,100,1,6.25,0,12.5,12.5,0,18.75,0
